Name,Rating,Genres,Platforms,ESRB,Genres_list,Platforms_list,Cluster
Jotun: Valhalla Edition,3.07,"Action, Indie","PlayStation 4, Nintendo Switch, PC, Xbox One, Linux, macOS",Teen,"['Action', 'Indie']","['PlayStation 4', 'Nintendo Switch', 'PC', 'Xbox One', 'Linux', 'macOS']",0
Fallout 3: Game of the Year Edition,4.13,"Action, RPG","Xbox 360, PlayStation 3, PC",Mature,"['Action', 'RPG']","['Xbox 360', 'PlayStation 3', 'PC']",1
Murdered: Soul Suspect,3.48,"Action, Adventure, RPG","Xbox One, PC, PlayStation 4, PlayStation 3, Xbox 360",Mature,"['Action', 'Adventure', 'RPG']","['Xbox One', 'PC', 'PlayStation 4', 'PlayStation 3', 'Xbox 360']",1
Sanctum 2,2.97,"Action, Shooter, Strategy, Indie","macOS, Linux, PlayStation 3, Xbox 360, PC",Teen,"['Action', 'Shooter', 'Strategy', 'Indie']","['macOS', 'Linux', 'PlayStation 3', 'Xbox 360', 'PC']",0
Braid,4.15,"Action, Arcade, Indie, Puzzle, Platformer","PlayStation 3, Xbox One, iOS, PC, macOS, Linux, Xbox 360",Everyone 10+,"['Action', 'Arcade', 'Indie', 'Puzzle', 'Platformer']","['PlayStation 3', 'Xbox One', 'iOS', 'PC', 'macOS', 'Linux', 'Xbox 360']",2
Resident Evil,4.18,"Action, Shooter","SEGA Saturn, PC, PlayStation",Mature,"['Action', 'Shooter']","['SEGA Saturn', 'PC', 'PlayStation']",1
Neverwinter,2.93,"Action, RPG, Massively Multiplayer","PlayStation 4, Xbox One, PC",Teen,"['Action', 'RPG', 'Massively Multiplayer']","['PlayStation 4', 'Xbox One', 'PC']",0
F.E.A.R.,4.26,"Action, Shooter","PC, PlayStation 3, Xbox 360",Adults Only,"['Action', 'Shooter']","['PC', 'PlayStation 3', 'Xbox 360']",1
Assassin's Creed,3.91,Action,"PlayStation 3, Xbox 360, Xbox One, PC",Mature,['Action'],"['PlayStation 3', 'Xbox 360', 'Xbox One', 'PC']",1
Enter the Gungeon,4.07,"Action, Shooter, Indie","PlayStation 4, Nintendo Switch, Linux, macOS, PC, Xbox One",Teen,"['Action', 'Shooter', 'Indie']","['PlayStation 4', 'Nintendo Switch', 'Linux', 'macOS', 'PC', 'Xbox One']",0
The Elder Scrolls Online: Tamriel Unlimited,3.48,"Action, RPG, Massively Multiplayer","macOS, PC, Xbox One, PlayStation 4",Mature,"['Action', 'RPG', 'Massively Multiplayer']","['macOS', 'PC', 'Xbox One', 'PlayStation 4']",1
It Takes Two,4.47,"Action, Adventure, Platformer","PlayStation 5, Xbox Series S/X, PlayStation 4, PC, Nintendo Switch, Xbox One",Everyone 10+,"['Action', 'Adventure', 'Platformer']","['PlayStation 5', 'Xbox Series S/X', 'PlayStation 4', 'PC', 'Nintendo Switch', 'Xbox One']",2
Resident Evil Revelations 2,3.68,"Action, Adventure","PC, Nintendo Switch, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, PS Vita",Mature,"['Action', 'Adventure']","['PC', 'Nintendo Switch', 'Xbox One', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'PS Vita']",1
Resident Evil 2,4.5,"Action, Shooter, Adventure","Nintendo Switch, PlayStation 5, PlayStation 4, PC, macOS, Xbox One",Mature,"['Action', 'Shooter', 'Adventure']","['Nintendo Switch', 'PlayStation 5', 'PlayStation 4', 'PC', 'macOS', 'Xbox One']",1
Far Cry 3: Blood Dragon,3.99,Shooter,"PlayStation 3, PC, PlayStation 4, Xbox 360, Xbox One",Mature,['Shooter'],"['PlayStation 3', 'PC', 'PlayStation 4', 'Xbox 360', 'Xbox One']",1
Assassin’s Creed Brotherhood,4.27,Action,"macOS, PC, PlayStation 3, Xbox 360, Xbox One, PlayStation 4",Mature,['Action'],"['macOS', 'PC', 'PlayStation 3', 'Xbox 360', 'Xbox One', 'PlayStation 4']",1
Serious Sam 3: BFE,3.46,"Action, Shooter, Indie","PlayStation 3, Xbox 360, Linux, macOS, PC",Mature,"['Action', 'Shooter', 'Indie']","['PlayStation 3', 'Xbox 360', 'Linux', 'macOS', 'PC']",1
Darksiders II,3.74,"Action, RPG","PC, Wii U, PlayStation 3, Nintendo Switch, Xbox 360",Mature,"['Action', 'RPG']","['PC', 'Wii U', 'PlayStation 3', 'Nintendo Switch', 'Xbox 360']",1
Mark of the Ninja,3.98,"Action, Indie, Platformer","Nintendo Switch, PC, Linux, macOS, Xbox 360",Mature,"['Action', 'Indie', 'Platformer']","['Nintendo Switch', 'PC', 'Linux', 'macOS', 'Xbox 360']",1
BattleBlock Theater,3.84,"Action, Adventure, Casual, Indie, Platformer","Xbox 360, Xbox One, macOS, PC, Linux",Teen,"['Action', 'Adventure', 'Casual', 'Indie', 'Platformer']","['Xbox 360', 'Xbox One', 'macOS', 'PC', 'Linux']",0
Drawful 2,3.21,"Strategy, Casual, Indie","Xbox One, Nintendo Switch, macOS, PlayStation 4, PC",Teen,"['Strategy', 'Casual', 'Indie']","['Xbox One', 'Nintendo Switch', 'macOS', 'PlayStation 4', 'PC']",0
Resident Evil 3,4.04,"Action, Shooter, Adventure","Nintendo Switch, PC, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One",Mature,"['Action', 'Shooter', 'Adventure']","['Nintendo Switch', 'PC', 'Xbox Series S/X', 'PlayStation 5', 'PlayStation 4', 'Xbox One']",1
Mafia: Definitive Edition,4.24,"Action, Shooter","PC, Xbox One, PlayStation 4",Mature,"['Action', 'Shooter']","['PC', 'Xbox One', 'PlayStation 4']",1
Deep Rock Galactic,4.11,"Action, Indie","PC, PlayStation 4, PlayStation 5",Teen,"['Action', 'Indie']","['PC', 'PlayStation 4', 'PlayStation 5']",0
Dragon's Dogma: Dark Arisen,3.92,"Action, Adventure, RPG","Xbox One, PC, Nintendo Switch, Xbox 360, PlayStation 3, PlayStation 4",Mature,"['Action', 'Adventure', 'RPG']","['Xbox One', 'PC', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3', 'PlayStation 4']",1
Final Fantasy VII,4.38,"Action, Adventure, RPG","PC, PlayStation 5, PlayStation 4",Teen,"['Action', 'Adventure', 'RPG']","['PC', 'PlayStation 5', 'PlayStation 4']",0
Remember Me,3.67,"Action, Platformer","PlayStation 3, Xbox 360, PC",Mature,"['Action', 'Platformer']","['PlayStation 3', 'Xbox 360', 'PC']",1
Far Cry 2,3.46,"Action, Shooter","Xbox 360, PC, PlayStation 3, Xbox One",Mature,"['Action', 'Shooter']","['Xbox 360', 'PC', 'PlayStation 3', 'Xbox One']",1
The Playroom,2.27,Arcade,PlayStation 4,Everyone 10+,['Arcade'],['PlayStation 4'],2
VRChat,3.14,"Adventure, Simulation, Sports, Casual, Massively Multiplayer",PC,Teen,"['Adventure', 'Simulation', 'Sports', 'Casual', 'Massively Multiplayer']",['PC'],0
ABZU,3.92,"Adventure, Simulation, Indie","PlayStation 4, Nintendo Switch, Xbox One, PC",Everyone,"['Adventure', 'Simulation', 'Indie']","['PlayStation 4', 'Nintendo Switch', 'Xbox One', 'PC']",0
Child of Light,3.85,"RPG, Indie","PlayStation 3, PlayStation 4, PS Vita, Wii U, Xbox 360, Xbox One, PC, Nintendo Switch",Everyone 10+,"['RPG', 'Indie']","['PlayStation 3', 'PlayStation 4', 'PS Vita', 'Wii U', 'Xbox 360', 'Xbox One', 'PC', 'Nintendo Switch']",2
PlanetSide 2,2.97,"Action, Shooter, Massively Multiplayer","PlayStation 4, PC",Teen,"['Action', 'Shooter', 'Massively Multiplayer']","['PlayStation 4', 'PC']",0
Destiny,3.69,"Action, Shooter","PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Teen,"['Action', 'Shooter']","['PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One']",0
Monaco: What's Yours Is Mine,2.99,"Action, Strategy, Casual, Indie","PC, Xbox 360, macOS, Linux",Teen,"['Action', 'Strategy', 'Casual', 'Indie']","['PC', 'Xbox 360', 'macOS', 'Linux']",0
Sonic Mania,3.86,"Action, Adventure, Casual, Platformer","PlayStation 4, Xbox One, PC, Nintendo Switch",Everyone,"['Action', 'Adventure', 'Casual', 'Platformer']","['PlayStation 4', 'Xbox One', 'PC', 'Nintendo Switch']",0
The Flame in the Flood,2.9,"Action, Simulation, Indie","macOS, Xbox One, Nintendo Switch, PC, PlayStation 4",Teen,"['Action', 'Simulation', 'Indie']","['macOS', 'Xbox One', 'Nintendo Switch', 'PC', 'PlayStation 4']",0
The Elder Scrolls III: Morrowind,4.37,RPG,"Xbox 360, Xbox, PC",Teen,['RPG'],"['Xbox 360', 'Xbox', 'PC']",0
STAR WARS Battlefront,3.29,"Action, Shooter, Adventure, Strategy","Xbox One, PC, PlayStation 4",Teen,"['Action', 'Shooter', 'Adventure', 'Strategy']","['Xbox One', 'PC', 'PlayStation 4']",0
Divinity: Original Sin,4.18,"RPG, Strategy, Indie","PlayStation 4, macOS, PC, Xbox One",Mature,"['RPG', 'Strategy', 'Indie']","['PlayStation 4', 'macOS', 'PC', 'Xbox One']",1
Spelunky,3.69,"Indie, Platformer","PlayStation 3, Xbox 360, PC, PlayStation 4, PS Vita",Teen,"['Indie', 'Platformer']","['PlayStation 3', 'Xbox 360', 'PC', 'PlayStation 4', 'PS Vita']",0
Dying Light,4.1,"Action, Adventure, RPG","Xbox One, PlayStation 4, Nintendo Switch, PC",Mature,"['Action', 'Adventure', 'RPG']","['Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PC']",1
Tomb Raider: Underworld,3.7,"Action, Adventure","Xbox 360, Wii, macOS, PC, Nintendo DS, PlayStation 3",Teen,"['Action', 'Adventure']","['Xbox 360', 'Wii', 'macOS', 'PC', 'Nintendo DS', 'PlayStation 3']",0
Vampyr,3.49,"Action, Adventure, RPG","PlayStation 4, PC, Xbox One, Nintendo Switch",Mature,"['Action', 'Adventure', 'RPG']","['PlayStation 4', 'PC', 'Xbox One', 'Nintendo Switch']",1
Battlefield 3,4.07,"Action, Shooter","PlayStation 3, Xbox One, PC, Xbox 360",Mature,"['Action', 'Shooter']","['PlayStation 3', 'Xbox One', 'PC', 'Xbox 360']",1
Battlefield V,3.51,"Action, Shooter, Adventure, Massively Multiplayer","PC, Xbox One, PlayStation 4",Mature,"['Action', 'Shooter', 'Adventure', 'Massively Multiplayer']","['PC', 'Xbox One', 'PlayStation 4']",1
